Geo Point;Geo Shape;FID;NCESID;NAME;ADDRESS;ADDRESS2;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;NAICS_CODE;NAICS_DESC;SOURCE;SOURCE_DAT;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL;ENROLLMENT;START GRAD;END GRADE;DISTRICT_I;FULL_TIME_;SHELTER_ID
43.145400037,-72.889854615;"{""type"": ""Point"", ""coordinates"": [-72.88985461499992, 43.145400037000044]}";18827;A9904344;MOUNTAIN SCHOOL AT WINHALL;9 SCHOOL ST;;BONDVILLE;VT;05340;;;1;1;75;BENNINGTON;50003;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9904344;2009-10-12T20:00:00-04:00;Imagery/Other;2009-12-30T19:00:00-05:00;;Elementary;63;PK;08;;12;
43.998405,-72.209275;"{""type"": ""Point"", ""coordinates"": [-72.209275, 43.998405]}";19488;A0702331;CONNECTICUT RIVER ACADEMY;151 LOWER PLAIN;;BRADFORD;VT;05033;;;6;1;18;ORANGE;50017;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0702331;2010-01-28T19:00:00-05:00;UnVerified;2010-08-23T20:00:00-04:00;;Combined elementary and secondary;12;UG;UG;;6;
44.511125,-73.058106;"{""type"": ""Point"", ""coordinates"": [-73.058106, 44.511125]}";22564;A0971689;GREEN MOUNTAIN MONTESSORI SCHOOL;8 JERICHO RD;;ESSEX JUNCTION;VT;05452;2707;;2;1;9;CHITTENDEN;50007;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0971689;2012-03-06T19:00:00-05:00;Imagery;2012-06-17T20:00:00-04:00;;Elementary;5;PK;KG;;4;
44.935143289,-72.213576059;"{""type"": ""Point"", ""coordinates"": [-72.2135760589999, 44.93514328900004]}";19498;A9703445;UNITED CHRISTIAN ACADEMY;65 SCHOOL ST;;NEWPORT;VT;05855;5049;;1;1;106;ORLEANS;50019;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9703445;2009-10-12T20:00:00-04:00;Imagery/Other;2009-12-30T19:00:00-05:00;;Combined elementary and secondary;91;KG;12;;15;
43.619097498,-72.983919216;"{""type"": ""Point"", ""coordinates"": [-72.98391921599993, 43.61909749800002]}";19517;A0109615;RUTLAND AREA CHRISTIAN SCHOOL;112 LINCOLN AVE;;RUTLAND;VT;05701;3260;;1;1;64;RUTLAND;50021;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0109615;2009-10-12T20:00:00-04:00;Imagery/Other;2009-12-30T19:00:00-05:00;;Combined elementary and secondary;56;PK;12;;8;
44.020272556,-73.151576305;"{""type"": ""Point"", ""coordinates"": [-73.15157630499992, 44.020272556000066]}";18785;A9904324;AURORA SCHOOL;238 PETERSON TER;;MIDDLEBURY;VT;05753;8869;;1;1;35;ADDISON;50001;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9904324;2010-01-28T19:00:00-05:00;Imagery;2010-08-23T20:00:00-04:00;;Elementary;29;KG;06;;6;
44.158105,-73.225712;"{""type"": ""Point"", ""coordinates"": [-73.225712, 44.158105]}";21581;A0303179;ARK PRESCHOOL/KINDERGARTEN;862 US ROUTE 7 S;;WALTHAM;VT;05491;;;7;1;3;ADDISON;50001;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0303179;2012-03-06T19:00:00-05:00;Imagery;2012-06-17T20:00:00-04:00;;Elementary;2;PK;KG;;1;
42.8913053,-73.22686343;"{""type"": ""Point"", ""coordinates"": [-73.22686342999995, 42.89130530000004]}";18815;02063193;BENNINGTON SCHOOL;192 FAIRVIEW ST;;BENNINGTON;VT;05201;9531;;4;1;66;BENNINGTON;50003;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=02063193;2009-10-12T20:00:00-04:00;Imagery/Other;2009-12-30T19:00:00-05:00;;Combined elementary and secondary;56;05;12;;10;
43.00128262,-72.539417347;"{""type"": ""Point"", ""coordinates"": [-72.53941734699997, 43.00128262000003]}";19557;01422575;THE GRAMMAR SCHOOL;69 HICKORY RIDGE RD S;;PUTNEY;VT;05346;8876;;1;1;121;WINDHAM;50025;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01422575;2010-01-28T19:00:00-05:00;Imagery;2010-08-23T20:00:00-04:00;;Elementary;107;PK;08;;14;
44.513263695,-71.994424152;"{""type"": ""Point"", ""coordinates"": [-71.99442415199995, 44.51326369500003]}";18830;02063127;THE RIVERSIDE SCHOOL;30 LILY POND RD;;LYNDONVILLE;VT;05851;;;1;1;69;CALEDONIA;50005;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=02063127;2010-01-28T19:00:00-05:00;Geocode;2010-08-23T20:00:00-04:00;;Elementary;58;KG;08;;11;
44.467828398,-73.109622937;"{""type"": ""Point"", ""coordinates"": [-73.10962293699997, 44.46782839800004]}";19449;01422418;TRINITY BAPTIST SCHOOLS;280 TRINITY DR;;WILLISTON;VT;05495;;;1;1;82;CHITTENDEN;50007;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01422418;2009-10-12T20:00:00-04:00;Imagery/Other;2009-12-30T19:00:00-05:00;;Combined elementary and secondary;76;PK;12;;6;
44.707457987,-73.035506719;"{""type"": ""Point"", ""coordinates"": [-73.03550671899994, 44.70745798700003]}";19455;A0303180;AVALON TRIUMVIRATE ACADEMY;1841 MAIN ST;;FAIRFAX;VT;05454;;;6;1;18;FRANKLIN;50011;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0303180;2010-01-28T19:00:00-05:00;Imagery;2010-08-23T20:00:00-04:00;;Combined elementary and secondary;16;05;12;;2;
44.46899581,-73.172802097;"{""type"": ""Point"", ""coordinates"": [-73.17280209699997, 44.46899581000007]}";26784;A9304133;INTERNATIONAL CHILDREN'S SCHOOL;1 EXECUTIVE ADDRESS;;SOUTH BURLINGTON;VT;05404;5758;;3;1;13;CHITTENDEN;50007;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9304133;2014-10-22T20:00:00-04:00;Imagery/Other;2014-12-14T19:00:00-05:00;;Elementary;11;PK;03;;2;
