Geo Point;Geo Shape;FID;OBJECTID;NCESID;Name;Address;Address 2;City;State;ZIP;ZIP4;Telephone;Type;Status;Population;County;County+State FIPS;Country;NAICS Code;Description;Source;Date Added;Evaluation Method;Date Evaluated;Website;Level;Enrollment;ST_GRADE;End Grade;District ID;FT Teacher;Shelter ID
43.44586001,-72.823237068;"{""type"": ""Point"", ""coordinates"": [-72.82323706799995, 43.44586001000004]}";14904;14499;500582000209;MT. HOLLY SCHOOL;150 SCHOOL ST;;MOUNT HOLLY;VT;05758;0045;(802) 259-2392;1;1;106;RUTLAND;50021;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500582000209;2010-01-29T00:00:00.000Z;IMAGERY;2010-08-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500582000209;PRIMARY;93;PK;06;5005820;13;10812490
44.663645244,-73.012539483;"{""type"": ""Point"", ""coordinates"": [-73.01253948299993, 44.66364524400006]}";84236;85036;500393000204;BFA HIGH SCHOOL - FAIRFAX;75 HUNT ST;;FAIRFAX;VT;05454;0068;(802) 849-6711;1;1;355;FRANKLIN;50011;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500393000204;2010-01-29T00:00:00.000Z;IMAGERY;2010-08-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500393000204;HIGH;328;09;12;5003930;27;10806699
44.41352638,-72.99426793;"{""type"": ""Point"", ""coordinates"": [-72.99426792999996, 44.41352638000005]}";65018;65808;500684000258;RICHMOND ELEMENTARY SCHOOL;125 SCHOOL ST;;RICHMOND;VT;05477;9700;(802) 434-2461;1;1;294;CHITTENDEN;50007;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500684000258;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500684000258;PRIMARY;275;PK;04;5006840;19;
43.656386114,-72.320181781;"{""type"": ""Point"", ""coordinates"": [-72.32018178099996, 43.65638611400003]}";39941;39941;500459000150;HARTFORD MEMORIAL MIDDLE SCHOOL;245 HIGHLAND AVE;;WHITE RIVER JUNCTION;VT;05001;1715;(802) 295-8640;1;1;355;WINDSOR;50027;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500459000150;2010-01-29T00:00:00.000Z;IMAGERY;2010-06-10T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500459000150;MIDDLE;321;06;08;5004590;34;10812476
43.871073058,-72.808908642;"{""type"": ""Point"", ""coordinates"": [-72.80890864199992, 43.87107305800002]}";26025;27220;500690000261;ROCHESTER ELEMENTARY/HIGH SCHOOL;222 SOUTH MAIN ST;;ROCHESTER;VT;05767;9679;(802) 767-3161;1;1;173;WINDSOR;50027;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500690000261;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-26T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500690000261;OTHER;156;PK;12;5006900;17;10812497
44.456732512,-73.177402752;"{""type"": ""Point"", ""coordinates"": [-73.17740275199996, 44.456732512000016]}";1210;1601;500747000295;FREDERICK H. TUTTLE MIDDLE SCHOOL;550 DORSET ST;;SOUTH BURLINGTON;VT;05403;6274;(802) 652-7100;1;1;603;CHITTENDEN;50007;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500747000295;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500747000295;MIDDLE;556;06;08;5007470;47;
42.836528175,-72.560670768;"{""type"": ""Point"", ""coordinates"": [-72.56067076799995, 42.83652817500007]}";14897;14492;500252000102;WINDHAM REGIONAL CAREER CENTER;45 CAREER CIRCLE;;BRATTLEBORO;VT;05301;3698;(802) 257-7335;3;1;0;WINDHAM;50025;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500252000102;2010-01-29T00:00:00.000Z;IMAGERY;2010-08-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500252000102;UNKNOWN;0;N;N;5002520;0;
43.603510592,-73.270145339;"{""type"": ""Point"", ""coordinates"": [-73.27014533899994, 43.603510592000056]}";58599;59394;500390000127;FAIR HAVEN UHSD #16;33 MECHANIC ST;;FAIR HAVEN;VT;05743;1048;(802) 265-4966;1;1;478;RUTLAND;50021;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500390000127;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500390000127;HIGH;434;09;12;5003900;44;
44.498251077,-73.110177446;"{""type"": ""Point"", ""coordinates"": [-73.11017744599995, 44.49825107700006]}";79332;78528;500000600122;THE CENTER FOR TECHNOLOGY - ESSEX;3 EDUCATIONAL DR;;ESSEX JUNCTION;VT;05452;3172;(802) 879-5558;3;1;0;CHITTENDEN;50007;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500000600122;2010-01-29T00:00:00.000Z;IMAGERY;2010-08-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500000600122;UNKNOWN;0;N;N;5000006;0;
44.452927111,-72.219336166;"{""type"": ""Point"", ""coordinates"": [-72.21933616599993, 44.45292711100005]}";26030;27225;500843000448;WALDEN SCHOOL;135 CAHOON FARM RD;;WALDEN;VT;05873;9605;(802) 563-3000;1;1;112;CALEDONIA;50005;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500843000448;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500843000448;PRIMARY;101;PK;08;5008430;11;10792012
